Niue (NZ),1000
Tokelau (NZ),1000
Ciudad del Vaticano,1000
Islas Malvinas (RU),3000
Santa Helena, A. y T. (RU),4000
San Pedro y Miquelón (Francia),6000
Montserrat (RU),6000
Nauru,10000
Tuvalu,10000
Wallis y Futuna (Francia),13000
Anguila (RU),16000
Palaos,21000
Islas Cook (NZ),21000
Islas Vírgenes Británicas (RU),24000
Gibraltar (RU),29000
San Marino,32000
Mónaco,35000
Liechtenstein,37000
Islas Turcas y Caicos (RU),40000
Islas Feroe (Dinamarca),49000
San Cristóbal y Nieves,54000
Islas Marshall,56000
Islas Caimán (RU),57000
Groenlandia (Dinamarca),57000
Islas Marianas del Norte (EE.UU.),62000
Bermudas (RU),65000
Dominica,68000
Samoa Americana (EE.UU.),71000
Isla de Man (RU),84000
Seychelles,87000
Andorra,88000
Antigua y Barbuda,91000
Kiribati,103000
Granada,105000
Tonga,105000
Islas Vírgenes (EE.UU.),109000
Aruba (PB),109000
San Vicente y las Granadinas,109000
Micronesia,112000
Santo Tomé y Príncipe,172000
Santa Lucía,178000
Guam (EE.UU.),184000
Samoa,185000
Mayotte (Francia),217000
Guayana Francesa,243000
Vanuatu,252000
Nueva Caledonia (Francia),259000
Barbados,275000
Polinesia Francesa,277000
Belice,324000
Maldivas,324000
Islandia,328000
Bahamas,351000
Martinica (Francia),408000
Brunéi,413000
Malta,419000
Guadalupe (Francia),465000
Cabo Verde,505000
Luxemburgo,523000
Surinam,534000
Islas Salomón,566000
República Árabe Saharaui Democrática,567000
Macao (China),567000
Montenegro,633000
Guinea Ecuatorial,740000
Bután,750000
Guyana,758000
Comoras,773000
Reunión (Francia),865000
Fiyi,876000
Yibuti,923000
Chipre,1129000
Timor Oriental,1187000
Suazilandia,1220000
Mauricio,1314000
Estonia,1340000
Trinidad y Tobago,1351000
Baréin,1359000
Gabón,1564000
Guinea-Bissau,1580000
Gambia,1825000
Catar,1939000
Eslovenia,2040000
Botsuana,2053000
República de Macedonia,2067000
Lesoto,2217000
Letonia,2235000
Namibia,2364000
Jamaica,2761000
Mongolia,2844000
Kuwait,2892000
Omán,2904000
Armenia,3109000
Albania,3227000
Lituania,3292000
Uruguay,3391000
Moldavia,3519000
Mauritania,3623000
Panamá,3625000
Puerto Rico,3743000
Bosnia y Herzegovina,3744000
República del Congo,4233000
Liberia,4245000
Autoridad Nacional Palestina,4271000
Líbano,4292000
Georgia,4304000
Croacia,4387000
Nueva Zelanda,4461000
República Centroafricana,4576000
Irlanda,4579000
Costa Rica,4794000
Noruega,4960000
Turkmenistán,5170000
Singapur,5256000
Finlandia,5403000
Kirguistán,5448000
Eslovaquia,5480000
Eritrea,5581000
Dinamarca,5593000
Nicaragua,5955000
Sierra Leona,6126000
El Salvador,6264000
Togo,6283000
Laos,6374000
Jordania,6457000
Libia,6469000
Paraguay,6683000
Tayikistán,7079000
Papúa Nueva Guinea,7170000
Hong Kong,7196000
Bulgaria,7398000
Israel,7695000
Suiza,7734000
Honduras,7912000
Emiratos Árabes Unidos,8106000
Austria,8429000
Burundi,8749000
Benín,9352000
Azerbaiyán,9421000
Suecia,9495000
Bielorrusia,9527000
Somalia,9797000
Serbia,9847000
Hungría,9950000
República Dominicana,10183000
Bolivia,10248000
Haití,10256000
Guinea,10481000
República Checa,10566000
Portugal,10699000
Túnez,10705000
Bélgica,10788000
Cuba,11249000
Ruanda,11272000
Grecia,11419000
Chad,11831000
Zimbabue,13014000
Senegal,13108000
Zambia,13884000
Camboya,14478000
Ecuador,14865000
Guatemala,15138000
Malaui,15883000
Malí,16319000
Kazajistán,16381000
Níger,16644000
Países Bajos,16714000
Chile,17423000
Burkina Faso,17482000
Angola,20163000
Camerún,20469000
Costa de Marfil,20595000
Siria,21118000
Sri Lanka,21224000
Rumania,21388000
Madagascar,21929000
Australia,22919000
Mozambique,24475000
Corea del Norte,24554000
Ghana,25546000
Yemen,25569000
Uzbekistán,28077000
Arabia Saudita,28705000
Malasia,29322000
Perú,29734000
Venezuela,29891000
Nepal,31011000
Marruecos,32599000
Afganistán,33397000
Irak,33703000
Canadá,34675000
Uganda,35621000
Argelia,36486000
Polonia,38317000
Argentina,41119000
Kenia,42749000
Ucrania,44940000
Sudán,45722000
España,46772000
Colombia,47551000
Tanzania,47656000
Corea del Sur,48588000
Birmania,48724000
Sudáfrica,50738000
Italia,60964000
Reino Unido,62798000
Francia,63458000
Rep. Dem. del Congo,69575000
Tailandia,69892000
Turquía,74509000
Irán,75612000
Alemania,81991000
Egipto,83958000
Etiopía,86539000
Vietnam,89730000
Filipinas,96471000
México,116147000
Japón,126435000
Rusia,142703000
Bangladés,152409000
Nigeria,166629000
Pakistán,179951000
Brasil,198361000
Indonesia,244769000
Estados Unidos,315791000
India,1258351000
China,1353601000
