Teruel,44,978
Soria,42,975
Huesca,22,974
Segovia,40,921
Cuenca,16,969
Ávila,05,920
Zamora,49,980
Melilla,52,95
Ceuta,51,956
Palencia,34,979
Lugo,27,982
Orense,32,988
Guadalajara,19,949
Cáceres,10,927
Lérida,25,973
Salamanca,37,923
La Rioja,26,941
Toledo,45,925
Ciudad Real,13,926
León,24,987
Álava,01,945
Burgos,09,947
Albacete,02,967
Navarra,31,948
Huelva,21,959
Jaén,23,953
Badajoz,06,924
Cantabria,39,942
Gerona,17,972
Guipúzcoa,20,943
Valladolid,47,983
Castellón,12,964
Granada,18,958
Almería,04,950
Tarragona,43,977
Córdoba,14,957
Pontevedra,36,986
La Coruña,15,981
Zaragoza,50,976
Asturias,33,98
S.C. de Tenerife,38,922
Islas Baleares,07,971
Vizcaya,48,94
Las Palmas,35,928
Cádiz,11,956
Murcia,30,968
Sevilla,41,95
Málaga,29,95
Alicante,03,96
Valencia,46,96
Barcelona,08,93
Madrid,28,91
